id,bot_localpart,room_id,event_id,sender,timestamp,body
86,persona2,!UmMRFBIczWWQPHigCQ:localhost,$uGthMlkql-zXemu4KnNPwuMDTbldffA4JE9Ftkbts5s,@blended_malt:localhost,1736777277564,Hello from 'blended_malt' in a direct chat. You said: you smell like poopy butts...
90,persona2,!UmMRFBIczWWQPHigCQ:localhost,$LaB-5rmEmJG-N6gM1BqQDa_x38lQSbSGFbnM9ARroKw,@blended_malt:localhost,1736816955603,Hello from 'blended_malt' in a direct chat. You said: belfy...
91,persona2,!UmMRFBIczWWQPHigCQ:localhost,$GUE7vgTEZjoExxb9IGaGDU_B4aoPSBRJ0SBeGANUHMI,@blended_malt:localhost,1736816955618,Hello from 'blended_malt' in a direct chat. You said: chicka...
93,persona2,!UmMRFBIczWWQPHigCQ:localhost,$fRqvvi8_RUVYQa-cvy-7qaZqLevJw3LDQ980t5Vd6Nk,@blended_malt:localhost,1736816955625,Hello from 'blended_malt' in a direct chat. You said: chacka...
95,persona2,!UmMRFBIczWWQPHigCQ:localhost,$QGvxY6uc2hWxZLB76Xyt9Zb6Tv713yeSiLbAr_Up-Jw,@blended_malt:localhost,1736816955631,Hello from 'blended_malt' in a direct chat. You said: chonka...
96,persona2,!UmMRFBIczWWQPHigCQ:localhost,$XJP6gw4jyAl4JUrXwRqNSCF2gEuvBLkiewHU35_spKY,@blended_malt:localhost,1736816955638,Hello from 'blended_malt' in a direct chat. You said: you smell like poopy butts...
97,persona2,!UmMRFBIczWWQPHigCQ:localhost,$5N1V6lFKi4Gfx1M3vcZ21ChV2mNuSC9PBhVDtcb5cwk,@blended_malt:localhost,1736817563355,Hello from 'blended_malt' in a direct chat. You said: chonka...
99,persona2,!UmMRFBIczWWQPHigCQ:localhost,$TBNrPJo2xxR-vkd_ow-crUGI1zo0VhvhVAS207FFw00,@blended_malt:localhost,1736817563361,Hello from 'blended_malt' in a direct chat. You said: you smell like poopy butts...
100,persona2,!UmMRFBIczWWQPHigCQ:localhost,$ZNU7y_ITk0bpy8wiIrtoPxotAXb1dhkXu800S_hTVIM,@blended_malt:localhost,1736817948819,Hello from 'blended_malt' in a direct chat. You said: you smell like poopy butts...
101,persona2,!UmMRFBIczWWQPHigCQ:localhost,$itztxQO_OA27Z1__2wbManM4Soi_9qXGf2SBPWvmzXI,@blended_malt:localhost,1736818711974,Hello from 'blended_malt' in a direct chat. You said: you smell like poopy butts...
1,lunabot,!GdZPFSkNndJpkFvaIZ:localhost,$zsamjBNeh8dUcucVrsKxmCTM61FwplakzA-ndfY9esU,@dimwitted_child:localhost,1736823118195,Hello from 'dimwitted_child' in a group chat! You mentioned me: dimwitted_child: are you there?...
9,blended_malt,!GdZPFSkNndJpkFvaIZ:localhost,$zsamjBNeh8dUcucVrsKxmCTM61FwplakzA-ndfY9esU,@dimwitted_child:localhost,1736823118195,Hello from 'dimwitted_child' in a group chat! You mentioned me: dimwitted_child: are you there?...
2,lunabot,!GdZPFSkNndJpkFvaIZ:localhost,$MgkJMIiX5E4BWGNm_NyA0FVi9se0ucRiUP4gArQb7aM,@dimwitted_child:localhost,1736823118208,Hello from 'dimwitted_child' in a group chat! You mentioned me: dimwitted_child: you can hear me now?...
10,blended_malt,!GdZPFSkNndJpkFvaIZ:localhost,$MgkJMIiX5E4BWGNm_NyA0FVi9se0ucRiUP4gArQb7aM,@dimwitted_child:localhost,1736823118208,Hello from 'dimwitted_child' in a group chat! You mentioned me: dimwitted_child: you can hear me now?...
3,lunabot,!GdZPFSkNndJpkFvaIZ:localhost,$DEwSs02m5HCxtNxwAveIZ0xWF_jTIbIADLfhr7wcE0A,@evan:localhost,1736823288740,dimwitted_child: are you there now?
8,dimwitted_child,!GdZPFSkNndJpkFvaIZ:localhost,$DEwSs02m5HCxtNxwAveIZ0xWF_jTIbIADLfhr7wcE0A,@evan:localhost,1736823288740,dimwitted_child: are you there now?
11,blended_malt,!GdZPFSkNndJpkFvaIZ:localhost,$DEwSs02m5HCxtNxwAveIZ0xWF_jTIbIADLfhr7wcE0A,@evan:localhost,1736823288740,dimwitted_child: are you there now?
76,persona2,!GdZPFSkNndJpkFvaIZ:localhost,$DEwSs02m5HCxtNxwAveIZ0xWF_jTIbIADLfhr7wcE0A,@evan:localhost,1736823288740,dimwitted_child: are you there now?
4,lunabot,!GdZPFSkNndJpkFvaIZ:localhost,$hJm8YlL5Rr_WTT5xg2heZBe1yXnV8yvI_ua7zbZi1c0,@dimwitted_child:localhost,1736823302389,Hello from 'dimwitted_child' in a group chat! You mentioned me: dimwitted_child: are you there?...
12,blended_malt,!GdZPFSkNndJpkFvaIZ:localhost,$hJm8YlL5Rr_WTT5xg2heZBe1yXnV8yvI_ua7zbZi1c0,@dimwitted_child:localhost,1736823302389,Hello from 'dimwitted_child' in a group chat! You mentioned me: dimwitted_child: are you there?...
77,persona2,!GdZPFSkNndJpkFvaIZ:localhost,$hJm8YlL5Rr_WTT5xg2heZBe1yXnV8yvI_ua7zbZi1c0,@dimwitted_child:localhost,1736823302389,Hello from 'dimwitted_child' in a group chat! You mentioned me: dimwitted_child: are you there?...
5,lunabot,!GdZPFSkNndJpkFvaIZ:localhost,$XQ_i7U_2e5_8lzCRv46-yW2QrgA2ETD2wgv1E1g4Mag,@dimwitted_child:localhost,1736823302408,Hello from 'dimwitted_child' in a group chat! You mentioned me: dimwitted_child: you can hear me now?...
